StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a,Q1b,Q1b_5_TEXT,Q1c,Q1d,Q1e,Q1f,Q1g_1,Q1g_2,Q1g_5,Q1g_6,Q1g_7,Q1g_8,Q1g_9,Q1g_10,Q1g_11,Q1g_12,Q1g_13,Q1h,Q1i_1,Q1i_2,Q1i_3,Q1i_4,Q1i_5,Q1i_9,Q1i_10,Q1i_11,Q1i_12,Q1j_1,Q1k_1,Q1k_2,Q1l,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q2a_9,Q2a_10,Q2b_1,Q2c_1,Q2d,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q94_1,Q7b
2024-04-26 05:18:00,2024-04-26 05:28:47,IPアドレス,213.255.128.166,100,647,正,2024-04-26 05:28:48,R_2HWds1Y8eAymKOZ,,,,,6.4474,3.3903,anonymous,EN,はい、研究の質問に進む,4,1979,女性,,English/Yoruba/Isoko,Igbo,Lagos,"Lagos, Nigeria",100,100,,,,,,,,,,1,7,0,0,0,0,0,0,,,18,10 or more,,yes,45,43,47,,,,,,,,51,,,,,,,,,,,,
2024-04-26 05:14:19,2024-04-26 05:37:23,IPアドレス,138.37.255.106,100,1383,正,2024-04-26 05:37:24,R_3H8j8NWqPuEnKT2,,,,,51.5026,-0.0668,anonymous,EN,はい、研究の質問に進む,4,1983,男性,,Greek,White other,Office,Greece,73,73,,,,,,,,,,6,64,65,,,,,,,,33,0,10 or more,"Piano, accordion",60,60,30,,,,,,,,34,,,,,,,,,,,,
2024-04-26 05:14:20,2024-04-26 05:39:36,IPアドレス,151.40.248.238,100,1515,正,2024-04-26 05:39:37,R_21bmDsuZKmGihkm,,,,,43.7891,11.2356,anonymous,EN,はい、研究の質問に進む,4,,男性,,Italian,White/Caucasian,Italy,"Florence, Italy",25,35,,,,,,,,,,0,,,,,,,,,,35,3-5,2,"Piano, Sax, Harp, Flute",64,64,72,,,,,,,,76,,,,,,,,,,,,
2024-04-26 05:13:45,2024-04-26 05:40:09,IPアドレス,61.82.246.179,100,1584,正,2024-04-26 05:40:10,R_4DvX3p3I333VBZl,,,,,35.545,129.2985,qr,EN,はい、研究の質問に進む,4,1989,男性,,English,"White ",Korea,Ireland,100,73,,,,,,,,,,2,40,29,,,,,,,,32,0,10 or more,"Piano, flute, guitar",83,92,90,,,,,,,,73,,,,,,,,,,,,
2024-04-26 05:08:32,2024-04-26 05:40:49,IPアドレス,143.178.163.155,100,1936,正,2024-04-26 05:40:49,R_5aE6HLwrDRkLEMs,,,,,51.8118,5.8578,qr,EN,はい、研究の質問に進む,4,1985,女性,,"Hebrew ","Jewish ","The Netherlands ",Israel,5,32,,,,,,,,,,0,,,,,,,,,,22,0,3-5,Guitar,73,24,78,,,,,,,,37,,,,,,,,,,,,
2024-04-26 05:13:56,2024-04-26 05:41:05,IPアドレス,88.169.96.209,100,1628,正,2024-04-26 05:41:05,R_47OO6nqy1gLDBgd,,,,,45.3412,4.4172,qr,EN,はい、研究の質問に進む,4,1984,女性,,"Polish, English ","White ","Saint etienne France ","Warsaw Poland ",7,8,,,,,,,,,,0,,,,,,,,,,5,0,2,"Flute, piano ",20,70,50,,,,,,,,51,,,,,,,,,,,,
2024-04-26 05:14:28,2024-04-26 05:41:48,IPアドレス,134.225.30.216,100,1639,正,2024-04-26 05:41:49,R_2r2GbrCAK0cNMYT,,,,,51.4425,-0.9267,qr,EN,はい、研究の質問に進む,4,1980,女性,,"Mandarin ","Chinese ",UK,China,0,0,,,,,,,,,,2,5,5,,,,,,,,47,0,0.5,Piano,73,23,73,,,,,,,,82,,,,,,,,,,,,
2024-04-26 05:18:41,2024-04-26 05:43:53,IPアドレス,108.6.210.188,100,1512,正,2024-04-26 05:43:53,R_2TLWi4QtGzgms4F,,,,,40.6643,-73.9763,qr,EN,はい、研究の質問に進む,S,1993,男性,,English,White,Zoom,United States,86,79,,,,,,,,,,2,39,23,,,,,,,,51,10 or more,10 or more,"Piano, electronics",68,67,72,,,,,,,,62,,,,,,,,,,,,
2024-04-26 05:16:02,2024-04-26 05:44:51,IPアドレス,87.59.169.26,100,1729,正,2024-04-26 05:44:53,R_81FEeQqbJ0UbNXo,,,,,55.7557,12.0997,anonymous,EN,はい、研究の質問に進む,S,1984,男性,,Danish,White,At home,Denmark,95,95,,,,,,,,,,2,20,20,,,,,,,,28,0.5,10 or more,"Piano, organ, gamelan",57,47,29,,,,,,,,47,,,,,,,,,,,,
2024-04-26 05:18:54,2024-04-26 05:45:32,IPアドレス,176.3.9.133,100,1597,正,2024-04-26 05:45:32,R_23hgk5zbkeg41k5,,,,,50.3497,7.6016,qr,EN,はい、研究の質問に進む,S,,男性,,Hebrew,White,Home,Israel,77,75,,,,,,,,,,2,36,26,0,,,,,,,52,10 or more,6-9,Violin piano,82,86,81,,,,,,,,49,,,,,,,,,,,,
2024-04-26 05:15:11,2024-04-26 05:46:44,IPアドレス,46.124.79.90,100,1892,正,2024-04-26 05:46:44,R_22le8C6CNES6TY8,,,,,48.2169,16.4997,anonymous,EN,はい、研究の質問に進む,R,,女性,,"Hindi, English, Marathi",South Asian,Vienna,India,10,58,,,,,,,,,,0,,,,,,,,,,24,0,10 or more,"Piano, Sitar",17,15,22,,,,,,,,28,,,,,,,,,,,,
2024-04-26 05:16:17,2024-04-26 05:49:00,IPアドレス,95.160.158.241,100,1962,正,2024-04-26 05:49:00,R_2mCYta3ci7SMbMR,,,,,52.2296,21.0067,qr,EN,はい、研究の質問に進む,5,1993,男性,,Polish,Slavic,Poland,Poland,85,100,,,,,,,,,,7,,,,,,,,,,21,1,10 or more,"Piano, guitar, bass, harmonica, electronics",64,53,62,,,,,,,,29,,,,,,,,,,,,
2024-04-26 05:15:57,2024-04-26 05:49:58,IPアドレス,79.161.174.105,100,2041,正,2024-04-26 05:49:59,R_8GJmQvHtEZAAzgK,,,,,60.3963,5.3214,qr,EN,はい、研究の質問に進む,5,1992,女性,,"Norwegian ",White / sami,"Zoom ","Norway ",54,56,,,,,,,,,,0,,,,,,,,,,9,10 or more,3-5,"Singing, piano, guitar and some drum ",7,9,12,,,,,,,,13,,,,,,,,,,,,
2024-04-26 05:18:11,2024-04-26 05:50:44,IPアドレス,193.62.7.230,100,1953,正,2024-04-26 05:50:45,R_8Tu8e6niiGPfHxh,,,,,53.5325,-2.9105,qr,EN,はい、研究の質問に進む,S,1987,男性,,"English ","White, European ","Work, UK",Canada,3,2,,,,,,,,,,2,23,12,,,,,,,,28,0,2,"Trombone ",30,11,58,,,,,,,,16,,,,,,,,,,,,
2024-04-26 05:16:51,2024-04-26 05:52:54,IPアドレス,203.211.74.164,100,2163,正,2024-04-26 05:52:55,R_4nWjGlgoCNXCaLn,,,,,-36.8506,174.7679,qr,EN,はい、研究の質問に進む,R,1997,ノンバイナリー,,English,"Māori ",Auckland,New Zealand,100,100,,,,,,,,,,0,,,,,,,,,,6,10 or more,10 or more,Guitar,70,15,63,,,,,,,,50,,,,,,,,,,,,
2024-04-26 05:16:58,2024-04-26 05:55:34,IPアドレス,38.95.247.138,100,2315,正,2024-04-26 05:55:34,R_7fPG2rIPq9nL4nF,,,,,42.9436,-78.8369,qr,EN,はい、研究の質問に進む,R,2001,女性,,English,"Black, Ghanaian","Buffalo, New York","Northampton, Massachusetts, USA",100,100,,,,,,,,,,1,0,,,,,,,,,27,3-5,6-9,"Piano, Violin, Percussion ",76,57,77,,,,,,,,36,,,,,,,,,,,,
2024-04-26 05:11:57,2024-04-26 05:55:40,IPアドレス,158.140.230.112,100,2622,正,2024-04-26 05:55:40,R_4KAzV51peKspPfC,,,,,-41.2881,174.74,qr,EN,はい、研究の質問に進む,5,1986,女性,,,,,,11,10,,,,,,,,,,0,,,,,,,,,,50,0,,No,75,80,80,,,,,,,,50,,,,,,,,,,,,
2024-04-26 05:09:58,2024-04-26 06:03:30,IPアドレス,176.7.171.116,100,3212,正,2024-04-26 06:03:31,R_25t1oVK2jAFSPIv,,,,,49.5068,8.4671,qr,EN,はい、研究の質問に進む,5,1992,​​​​​その他（自由説明）,1992,Farsi,Iranian,,"Isfahan, Iran",74,74,,,,,,,,,,0,,,,,,,,,,100,0.5,0.5,Electric guitar,63,60,57,,,,,,,,100,,,,,,,,,,,,
2024-04-26 05:16:34,2024-04-26 06:26:35,IPアドレス,195.32.113.78,100,4201,正,2024-04-26 06:26:35,R_5VnjvPjnfDJOUsV,,,,,45.4936,9.1173,anonymous,EN,はい、研究の質問に進む,5,1981,男性,,Romanian,White (European),Romania,Bucharest,66,75,,,,,,,,,,2,75,79,33,25,79,79,63,,,77,0.5,3-5,piano,63,82,80,,,,,,,,69,,,,,,,,,,,,
2024-04-22 16:49:07,2024-04-22 16:51:49,IPアドレス,202.36.244.205,6,162,誤,2024-04-29 16:51:50,R_4R9Eu8zhhttA64l,,,,,,,qr,EN,はい、研究の質問に進む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23 05:47:04,2024-04-23 05:48:56,IPアドレス,78.210.144.81,21,112,誤,2024-04-30 05:48:57,R_2fMBikxTZmHtbjl,,,,,,,qr,EN,はい、研究の質問に進む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,29,32,22,,,,,,,,29,,,,,,,,,,,,
2024-04-23 11:46:26,2024-04-24 08:40:22,IPアドレス,106.73.80.32,13,75236,誤,2024-05-01 08:40:24,R_4tLH9Fz5llOu0go,,,,,,,anonymous,JA,はい、研究の質問に進む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 03:16:36,2024-04-26 05:13:10,IPアドレス,92.117.160.113,23,6994,誤,2024-05-03 05:13:16,R_28b5TRvJcrUZXbP,,,,,,,qr,EN,はい、研究の質問に進む,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,0,0,,,,,,,,0,,,,,,,,,,,,
2024-04-26 05:14:52,2024-04-26 05:15:16,IPアドレス,87.59.169.26,8,24,誤,2024-05-03 05:15:18,R_2gFw1Z9Gj1jTvVM,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 05:15:23,2024-04-26 05:16:33,IPアドレス,106.196.21.118,8,69,誤,2024-05-03 05:16:34,R_4lfrRnyZVzDRplW,,,,,,,qr,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 05:16:28,2024-04-26 05:17:02,IPアドレス,138.37.255.106,15,33,誤,2024-05-03 05:17:04,R_1CqpE9mWUCzrTJv,,,,,,,anonymous,EN,はい、研究の質問に進む,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 04:48:36,2024-04-26 05:19:11,IPアドレス,118.92.209.210,8,1835,誤,2024-05-03 05:19:15,R_4dfQb6GJfjT1R7n,,,,,,,qr,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 05:18:07,2024-04-26 05:20:07,IPアドレス,141.5.2.1,23,119,誤,2024-05-03 05:20:13,R_265B18mCKkeWLvz,,,,,,,qr,EN,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,100,99,65,,,,,,,,54,,,,,,,,,,,,
2024-04-26 05:19:25,2024-04-26 05:20:45,IPアドレス,192.76.8.71,23,79,誤,2024-05-03 05:20:49,R_2gRPFr5I9SEVOPD,,,,,,,anonymous,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,43,70,87,,,,,,,,50,,,,,,,,,,,,
2024-04-26 05:22:19,2024-04-26 05:24:07,IPアドレス,223.185.128.255,15,108,誤,2024-05-03 05:24:09,R_4vNJps6iwojYdJn,,,,,,,anonymous,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 05:17:11,2024-04-26 05:29:30,IPアドレス,85.119.46.8,28,738,誤,2024-05-03 05:29:30,R_2CI1a6HUxO7lVFh,,,,,,,anonymous,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,67,65,59,,,,,,,,49,,,,,,,,,,,,
2024-04-26 05:16:16,2024-04-26 05:35:30,IPアドレス,72.75.234.55,31,1154,誤,2024-05-03 05:35:31,R_3qF3usmMD1NBV59,,,,,,,qr,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,78,72,22,,,,,,,,18,,,,,,,,,,,,
2024-04-26 05:14:19,2024-04-26 05:43:34,IPアドレス,92.117.160.113,72,1754,誤,2024-05-03 05:43:38,R_7X7RJQv35UN5ASR,,,,,,,anonymous,EN,はい、研究の質問に進む,4,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,8,,,,36,35,33,,,,,,,,10,,,,,,,,,,,,
2024-04-26 05:29:30,2024-04-26 05:44:02,IPアドレス,192.76.8.71,44,871,誤,2024-05-03 05:44:06,R_1aff1V1uV9pjYRE,,,,,,,qr,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,85,84,67,,,,,,,,52,,,,,,,,,,,,
2024-04-26 05:17:26,2024-04-26 05:48:15,IPアドレス,94.44.228.49,72,1848,誤,2024-05-03 05:48:20,R_2KqvQXorZRlDV5L,,,,,,,anonymous,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,9,,,,13,15,38,,,,,,,,29,,,,,,,,,,,,
2024-04-26 05:18:16,2024-04-26 05:51:06,IPアドレス,128.205.227.57,23,1969,誤,2024-05-03 05:51:07,R_7H5iZOFhd6KFeTl,,,,,,,qr,EN,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,100,49,100,,,,,,,,59,,,,,,,,,,,,
2024-04-26 05:18:51,2024-04-26 05:52:59,IPアドレス,223.185.128.255,59,2047,誤,2024-05-03 05:53:01,R_4n8ui1qqieEDtz7,,,,,,,anonymous,EN,はい、研究の質問に進む,5,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,75,,,,82,89,100,,,,,,,,92,,,,,,,,,,,,
2024-04-26 05:15:32,2024-04-26 05:59:51,IPアドレス,192.166.211.93,46,2658,誤,2024-05-03 05:59:52,R_8HC9Gxrt2kxcxEt,,,,,,,anonymous,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,75,75,75,,,,,,,,75,,,,,,,,,,,,
2024-04-26 05:14:07,2024-04-26 06:07:04,IPアドレス,192.166.211.93,0,3176,誤,2024-05-03 06:07:08,R_5hm5kr34P8crFvD,,,,,,,anonymous,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26 05:16:38,2024-04-29 19:37:58,IPアドレス,24.150.202.86,31,310879,誤,2024-05-06 19:38:03,R_8Cr6R7FkdAzT8R1,,,,,,,anonymous,EN,はい、研究の質問に進む,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,90,51,58,,,,,,,,42,,,,,,,,,,,,
2024-05-10 01:45:27,2024-05-10 02:29:15,IPアドレス,130.234.230.145,100,2628,正,2024-05-10 02:29:16,R_2e2lPpSh5OqiWbS,,,,,62.2406,25.7467,qr,EN,はい、研究の質問に進む,R,1990,男性,,"English ",Mixed race,Place of work,"United Kingdom ",50,97,,,,,,,,,,6,100,100,100,100,100,100,100,,,59,1,3-5,Guitar,73,31,95,,,,,,,,56,,,,,,,,,,,,
