StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a_1,Q1a_2,Q1a_3,Q1b_1,Q2a_1,Q2a_2,Q2a_3,Q2b_1,Q3a_1,Q3a_2,Q3a_3,Q3b_1,Q4a_1,Q4a_2,Q4a_3,Q4b_1,Q5a_1,Q5a_2,Q5a_3,Q5b_1,Q6a_1,Q6a_2,Q6a_3,Q6b_1,Q7,Q7b_1,Q7b_2,Q7b_3,Q7b_4,Q7b_5,Q7b_9,Q7b_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q14_5_TEXT,Q15,Q16,Q17,Q18,Q19_1,Q19_2,Q20_1,Q20_2,Q21,Q22,Q23
2024-04-26 23:18:00,2024-04-26 23:28:47,IP Address,213.255.128.166,100,647,True,2024-04-26 23:28:48,R_2HWds1Y8eAymKOZ,,,,,6.4474,3.3903,anonymous,EN,Yes - I want to continue on to the study questions,GS,53,53,100,18,45,43,47,51,36,44,48,46,44,47,50,52,40,47,48,49,47,49,51,53,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,32,21,16,26,25,25,25,26,21,21,19,22,23,18,1979,Female,,English/Yoruba/Isoko,Igbo,Lagos,"Lagos, Nigeria",100,100,10 or more,,yes,good,Songs should be well known
2024-04-26 23:14:19,2024-04-26 23:37:23,IP Address,138.37.255.106,100,1383,True,2024-04-26 23:37:24,R_3H8j8NWqPuEnKT2,,,,,51.5026,-0.0668,anonymous,EN,Yes - I want to continue on to the study questions,GS,60,50,50,33,60,60,30,34,60,60,30,33,60,60,33,33,61,60,18,11,51,35,14,13,6,64,65,,,,,,83,27,41,17,36,78,20,83,13,0,53,65,76,60,0,47,69,62,51,17,100,63,79,46,23,1983,Male,,Greek,White other,Office,Greece,73,73,0,10 or more,"Piano, accordion",Test group synchronization in singing,Left comments in the slides
2024-04-26 23:14:20,2024-04-26 23:39:36,IP Address,151.40.248.238,100,1515,True,2024-04-26 23:39:37,R_21bmDsuZKmGihkm,,,,,43.7891,11.2356,anonymous,EN,Yes - I want to continue on to the study questions,GS,50,50,65,35,64,64,72,76,80,45,66,78,63,18,53,51,56,35,66,21,4,7,7,5,0,,,,,,,,51,66,35,48,56,19,74,29,50,4,59,20,66,50,20,94,8,80,50,5,50,12,8,50,3,,Male,,Italian,White/Caucasian,Italy,"Florence, Italy",25,35,3-5,2,"Piano, Sax, Harp, Flute",n/a,"We should discuss how much telling participants about the nature of the study before they sign up for it. It might be important to anticipate that participants will be asked to sing (as some individuals might be shy or not generally enjoy this kind of activity compared to others?). "
2024-04-26 23:13:45,2024-04-26 23:40:09,IP Address,61.82.246.179,100,1584,True,2024-04-26 23:40:10,R_4DvX3p3I333VBZl,,,,,35.545,129.2985,qr,EN,Yes - I want to continue on to the study questions,GS,60,60,60,32,83,92,90,73,87,88,90,76,90,90,91,88,85,87,86,85,91,91,90,94,2,40,29,,,,,,70,82,80,80,15,0,80,0,100,83,66,30,67,79,0,6,50,6,61,79,0,62,45,100,0,1989,Male,,English,"White ",Korea,Ireland,100,73,0,10 or more,"Piano, flute, guitar",Zoom is weird,Zoom is weird
2024-04-26 23:08:32,2024-04-26 23:40:49,IP Address,143.178.163.155,100,1936,True,2024-04-26 23:40:49,R_5aE6HLwrDRkLEMs,,,,,51.8118,5.8578,qr,EN,Yes - I want to continue on to the study questions,GS,70,21,50,22,73,24,78,37,74,64,90,49,72,70,67,56,41,20,83,30,53,46,69,50,0,,,,,,,,72,49,100,49,16,0,100,12,72,78,100,0,98,30,16,72,15,79,51,65,0,46,50,49,49,1985,Female,,"Hebrew ","Jewish ","The Netherlands ",Israel,5,32,0,3-5,Guitar,"Awkward ",
2024-04-26 23:13:56,2024-04-26 23:41:05,IP Address,88.169.96.209,100,1628,True,2024-04-26 23:41:05,R_47OO6nqy1gLDBgd,,,,,45.3412,4.4172,qr,EN,Yes - I want to continue on to the study questions,GS,10,60,60,5,20,70,50,51,58,67,74,71,80,83,94,73,67,61,62,55,72,83,86,73,0,,,,,,,,79,83,86,100,13,5,64,0,100,85,34,72,85,100,87,55,39,14,100,20,80,100,60,80,81,1984,Female,,"Polish, English ","White ","Saint etienne France ","Warsaw Poland ",7,8,0,2,"Flute, piano ",I’m biased ;),"Let’s discuss ! "
2024-04-26 23:14:28,2024-04-26 23:41:48,IP Address,134.225.30.216,100,1639,True,2024-04-26 23:41:49,R_2r2GbrCAK0cNMYT,,,,,51.4425,-0.9267,qr,EN,Yes - I want to continue on to the study questions,GS,51,27,100,47,73,23,73,82,90,91,90,92,100,68,100,92,100,50,100,100,100,80,100,100,2,5,5,,,,,,100,100,12,100,11,29,86,1,100,0,90,91,0,100,0,11,80,0,100,14,0,100,0,100,60,1980,Female,,"Mandarin ","Chinese ",UK,China,0,0,0,0.5,Piano,Group synchrony,It’s fun!
2024-04-26 23:18:41,2024-04-26 23:43:53,IP Address,108.6.210.188,100,1512,True,2024-04-26 23:43:53,R_2TLWi4QtGzgms4F,,,,,40.6643,-73.9763,qr,EN,Yes - I want to continue on to the study questions,GR,59,68,74,51,68,67,72,62,82,77,83,66,78,77,81,62,79,85,86,72,81,85,87,71,2,39,23,,,,,,28,66,50,75,73,15,75,31,75,61,56,62,50,62,68,50,60,56,70,66,10,63,40,76,70,1993,Male,,English,White,Zoom,United States,86,79,10 or more,10 or more,"Piano, electronics","Assessing whether group singing affects feelings of bonding, and yes!",NA
2024-04-26 23:16:02,2024-04-26 23:44:51,IP Address,87.59.169.26,100,1729,True,2024-04-26 23:44:53,R_81FEeQqbJ0UbNXo,,,,,55.7557,12.0997,anonymous,EN,Yes - I want to continue on to the study questions,GR,49,25,25,28,57,47,29,47,76,65,57,79,86,52,60,77,53,64,52,41,47,61,49,43,2,20,20,,,,,,75,90,70,80,30,10,90,3,95,15,95,20,80,50,40,100,2,95,20,5,80,75,20,50,10,1984,Male,,Danish,White,At home,Denmark,95,95,0.5,10 or more,"Piano, organ, gamelan",,
2024-04-26 23:18:54,2024-04-26 23:45:32,IP Address,176.3.9.133,100,1597,True,2024-04-26 23:45:32,R_23hgk5zbkeg41k5,,,,,50.3497,7.6016,qr,EN,Yes - I want to continue on to the study questions,GR,81,84,85,52,82,86,81,49,79,84,82,51,95,89,87,64,91,89,90,70,82,84,83,59,2,36,26,0,,,,,92,20,83,35,33,19,98,10,92,78,95,8,96,6,11,100,8,15,13,10,7,45,13,26,11,,Male,,Hebrew,White,Home,Israel,77,75,10 or more,6-9,Violin piano,Social bonding,No
2024-04-26 23:15:11,2024-04-26 23:46:44,IP Address,46.124.79.90,100,1892,True,2024-04-26 23:46:44,R_22le8C6CNES6TY8,,,,,48.2169,16.4997,anonymous,EN,Yes - I want to continue on to the study questions,GC,26,28,27,24,17,15,22,28,82,73,71,79,49,51,54,48,3,3,8,5,35,30,32,33,0,,,,,,,,61,65,49,57,41,93,66,93,90,12,49,90,92,87,89,97,34,28,77,6,25,79,40,67,7,,Female,,"Hindi, English, Marathi",South Asian,Vienna,India,10,58,0,10 or more,"Piano, Sitar","Assessing levels of social bonding in the different conditions ",
2024-04-26 23:16:17,2024-04-26 23:49:00,IP Address,95.160.158.241,100,1962,True,2024-04-26 23:49:00,R_2mCYta3ci7SMbMR,,,,,52.2296,21.0067,qr,EN,Yes - I want to continue on to the study questions,NV,63,52,54,21,64,53,62,29,73,56,60,32,57,64,63,41,75,60,55,53,56,50,55,56,7,,,,,,,,57,69,21,53,36,42,53,33,51,47,58,67,43,81,81,37,63,30,65,77,50,53,36,30,53,1993,Male,,Polish,Slavic,Poland,Poland,85,100,1,10 or more,"Piano, guitar, bass, harmonica, electronics",I think we measured the bonding power of music and it worked,Can’t wait!
2024-04-26 23:15:57,2024-04-26 23:49:58,IP Address,79.161.174.105,100,2041,True,2024-04-26 23:49:59,R_8GJmQvHtEZAAzgK,,,,,60.3963,5.3214,qr,EN,Yes - I want to continue on to the study questions,NV,6,5,11,9,7,9,12,13,19,23,9,10,14,10,9,11,13,11,10,9,6,7,12,9,0,,,,,,,,36,9,67,67,7,42,25,50,82,22,45,6,67,53,11,76,6,74,9,13,55,11,75,78,9,1992,Female,,"Norwegian ",White / sami,"Zoom ","Norway ",54,56,10 or more,3-5,"Singing, piano, guitar and some drum ","I think we were supposed to feel closer as a group from singing rather than the other conditions due to social bonding ","I don’t think it works over zoom, although I don’t think it works in a group setting, as people get very uncomfortable on the spot. Especially without music. "
2024-04-26 23:18:11,2024-04-26 23:50:44,IP Address,193.62.7.230,100,1953,True,2024-04-26 23:50:45,R_8Tu8e6niiGPfHxh,,,,,53.5325,-2.9105,qr,EN,Yes - I want to continue on to the study questions,GR,66,35,61,28,30,11,58,16,66,69,77,81,72,57,72,33,74,73,70,65,39,30,64,34,2,23,12,,,,,,46,69,40,100,24,1,90,17,100,56,36,81,47,12,38,100,15,83,80,19,3,44,49,95,53,1987,Male,,"English ","White, European ","Work, UK",Canada,3,2,0,2,"Trombone ",Good stuff,Good stuff
2024-04-26 23:16:51,2024-04-26 23:52:54,IP Address,203.211.74.164,100,2163,True,2024-04-26 23:52:55,R_4nWjGlgoCNXCaLn,,,,,-36.8506,174.7679,qr,EN,Yes - I want to continue on to the study questions,GC,35,2,67,6,70,15,63,50,11,5,78,68,6,20,82,70,62,26,72,60,26,21,73,65,0,,,,,,,,100,50,86,29,20,4,64,10,80,0,100,46,100,21,1,56,52,26,100,14,77,50,10,30,14,1997,Non-binary,,English,"Māori ",Auckland,New Zealand,100,100,10 or more,10 or more,Guitar,To bring people together,
2024-04-26 23:16:58,2024-04-26 23:55:34,IP Address,38.95.247.138,100,2315,True,2024-04-26 23:55:34,R_7fPG2rIPq9nL4nF,,,,,42.9436,-78.8369,qr,EN,Yes - I want to continue on to the study questions,GC,66,50,50,27,76,57,77,36,72,55,69,50,61,50,50,34,48,33,40,6,44,44,51,42,1,0,,,,,,,50,50,23,50,0,0,73,12,100,50,40,20,66,77,50,0,20,20,76,11,0,25,62,50,25,2001,Female,,English,"Black, Ghanaian","Buffalo, New York","Northampton, Massachusetts, USA",100,100,3-5,6-9,"Piano, Violin, Percussion ","To see how people feel connected when engaging in different activities. ",
2024-04-26 23:11:57,2024-04-26 23:55:40,IP Address,158.140.230.112,100,2622,True,2024-04-26 23:55:40,R_4KAzV51peKspPfC,,,,,-41.2881,174.74,qr,EN,Yes - I want to continue on to the study questions,NV,75,70,80,50,75,80,80,50,75,80,75,52,80,76,75,54,81,81,81,51,80,80,80,51,0,,,,,,,,20,82,84,54,51,20,80,40,80,80,40,80,41,75,50,20,75,94,81,80,30,70,41,70,51,1986,Female,,,,,,11,10,0,,No,,
2024-04-26 23:09:58,2024-04-27 00:03:30,IP Address,176.7.171.116,100,3212,True,2024-04-27 00:03:31,R_25t1oVK2jAFSPIv,,,,,49.5068,8.4671,qr,EN,Yes - I want to continue on to the study questions,NV,100,100,100,100,63,60,57,100,70,74,77,55,58,62,69,43,100,100,100,97,98,89,91,95,0,,,,,,,,5,100,5,50,52,10,100,9,48,47,7,100,10,54,49,50,100,11,51,51,12,100,9,50,50,1992,,1992,Farsi,Iranian,,"Isfahan, Iran",74,74,0.5,0.5,Electric guitar,"The effect singing individually and in sync on social bonding and the degree to which one get comfortable with the people around in the very context. ","I did know the song well, probably because of cultural background. But, later I recalled that maybe I heard once from an amercian show on TV. I could hardly recall the melody and did not know the lyrics at all. "
2024-04-26 23:16:34,2024-04-27 00:26:35,IP Address,195.32.113.78,100,4201,True,2024-04-27 00:26:35,R_5VnjvPjnfDJOUsV,,,,,45.4936,9.1173,anonymous,EN,Yes - I want to continue on to the study questions,NV,59,89,82,77,63,82,80,69,82,86,80,90,79,87,93,81,80,82,86,94,89,94,96,94,2,75,79,33,25,79,79,63,82,86,8,94,5,4,90,2,96,100,45,44,55,89,100,84,95,23,41,66,95,24,76,48,61,1981,Male,,Romanian,White (European),Romania,Bucharest,66,75,0.5,3-5,piano,goal=test social boding hypothesis across cultures; results=strong support thereof! ;),yes - see GDoc :)
